0.000000 1453727289.972910 0.000000 time stamp reset
0.000067 1453727289.972977 0.000067 calling c function --  setup
0.000104 1453727289.973014 0.000037 C++: Running setup
0.000217 1453727289.973127 0.000113 C++: Running setup_itab
0.000679 1453727289.973589 0.000462 C++: Finished setup_itab
0.006625 1453727289.979535 0.005946 C++: running unwarp chunk
0.008881 1453727289.981791 0.002256 C++: finished unwarp chunk 
0.013147 1453727289.986057 0.004266 C++: running unwarp chunk
0.013850 1453727289.986760 0.000703 C++: finished unwarp chunk 
0.016658 1453727289.989568 0.002808 C++: running unwarp chunk
0.017360 1453727289.990270 0.000702 C++: finished unwarp chunk 
0.019895 1453727289.992805 0.002535 C++: running unwarp chunk
0.020593 1453727289.993503 0.000698 C++: finished unwarp chunk 
0.023133 1453727289.996043 0.002540 C++: running unwarp chunk
0.023834 1453727289.996744 0.000701 C++: finished unwarp chunk 
0.026298 1453727289.999208 0.002464 C++: running unwarp chunk
0.027001 1453727289.999911 0.000703 C++: finished unwarp chunk 
0.029505 1453727290.002415 0.002504 C++: running unwarp chunk
0.030204 1453727290.003114 0.000699 C++: finished unwarp chunk 
0.033570 1453727290.006480 0.003366 C++: running unwarp chunk
0.034282 1453727290.007192 0.000712 C++: finished unwarp chunk 
0.038466 1453727290.011376 0.004184 C++: running unwarp chunk
0.039166 1453727290.012076 0.000700 C++: finished unwarp chunk 
0.042244 1453727290.015154 0.003078 C++: running unwarp chunk
0.042947 1453727290.015857 0.000703 C++: finished unwarp chunk 
0.045575 1453727290.018485 0.002628 C++: running unwarp chunk
0.046276 1453727290.019186 0.000701 C++: finished unwarp chunk 
0.048798 1453727290.021708 0.002522 C++: running unwarp chunk
0.049074 1453727290.021984 0.000276 C++: finished unwarp chunk 
0.050986 1453727290.023896 0.001912 unwarp cleanup
